document_id,file_name,label
146,clean_text3/AVB_DEF 14A_20190516_0000915912-19-000010.txt,AVB
147,clean_text3/AVGO_DEF 14A_20190401_0001193125-19-043540.txt,AVGO
148,clean_text3/AVNS_DEF 14A_20190425_0001552781-19-000099.txt,AVNS
149,clean_text3/AVT_DEF 14A_20181116_0001047469-18-006562.txt,AVT
150,clean_text3/AVXL_DEF 14A_20190405_0001615774-19-002242.txt,AVXL
151,clean_text3/AVY_DEF 14A_20190425_0001047469-19-001005.txt,AVY
152,clean_text3/AWK_DEF 14A_20190510_0001193125-19-086369.txt,AWK
153,clean_text3/AWSM_DEF 14A_20181214_0001564590-18-029987.txt,AWSM
154,clean_text3/AWX_DEF 14A_20190425_0001437749-19-004982.txt,AWX
155,clean_text3/AXL_DEF 14A_20181231_0001062231-19-000021.txt,AXL
156,clean_text3/AXP_DEF 14A_20190507_0001206774-19-000869.txt,AXP
157,clean_text3/AXS_DEF 14A_20190502_0001144204-19-016416.txt,AXS
158,clean_text3/AXTA_DEF 14A_20190501_0001140361-19-005309.txt,AXTA
159,clean_text3/AYI_DEF 14A_20180831_0001144215-18-000131.txt,AYI
160,clean_text3/AZO_DEF 14A_20181219_0001193125-18-309145.txt,AZO
161,clean_text3/AZPN_DEF 14A_20181207_0000929940-18-000039.txt,AZPN
162,clean_text3/A_DEF 14A_20190320_0001564590-19-002283.txt,A
163,clean_text3/BACPH_DEF 14A_20190424_0001193125-19-072939.txt,BACPH
164,clean_text3/BACPJ_DEF 14A_20190424_0001193125-19-072939.txt,BACPJ
165,clean_text3/BACPL_DEF 14A_20190424_0001193125-19-072939.txt,BACPL
166,clean_text3/BACWSA_DEF 14A_20190424_0001193125-19-072939.txt,BACWSA
167,clean_text3/BACWSB_DEF 14A_20190424_0001193125-19-072939.txt,BACWSB
168,clean_text3/BAC_DEF 14A_20190424_0001193125-19-072939.txt,BAC
169,clean_text3/BANR_DEF 14A_20190322_0000939057-19-000110.txt,BANR
170,clean_text3/BASI_DEF 14A_20190320_0001144204-19-003200.txt,BASI
171,clean_text3/BAXW_DEF 14A_20190507_0001193125-19-086724.txt,BAXW
172,clean_text3/BAX_DEF 14A_20190507_0001193125-19-086724.txt,BAX
173,clean_text3/BA_DEF 14A_20190429_0001193125-19-076793.txt,BA
174,clean_text3/BBDC_DEF 14A_20190509_0001379785-19-000014.txt,BBDC
175,clean_text3/BBQ_DEF 14A_20190329_0001021270-19-000022.txt,BBQ
176,clean_text3/BCBP_DEF 14A_20190425_0001174947-19-000445.txt,BCBP
177,clean_text3/BCC_DEF 14A_20190502_0001140361-19-005389.txt,BCC
178,clean_text3/BCLI_DEF 14A_20181129_0001144204-18-053095.txt,BCLI
179,clean_text3/BCO_DEF 14A_20190502_0001193125-19-076681.txt,BCO
180,clean_text3/BCRH_DEF 14A_20190508_0001193125-19-080926.txt,BCRH
181,clean_text3/BCSF_DEF 14A_20190201_0001047469-18-007783.txt,BCSF
182,clean_text3/BC_DEF 14A_20190508_0001308179-19-000046.txt,BC
183,clean_text3/BDCOD_DEF 14A_20181227_0001654954-18-012825.txt,BDCOD
184,clean_text3/BDCO_DEF 14A_20181227_0001654954-18-012825.txt,BDCO
185,clean_text3/BDLF_DEF 14A_20181023_0001554795-18-000299.txt,BDLF
186,clean_text3/BDL_DEF 14A_20190222_0001174947-19-000049.txt,BDL
187,clean_text3/BDX_DEF 14A_20190122_0000010795-18-000039.txt,BDX
188,clean_text3/BEAT_DEF 14A_20181231_0001574774-19-000031.txt,BEAT
189,clean_text3/BECN_DEF 14A_20190212_0001564590-19-000509.txt,BECN
190,clean_text3/BEN_DEF 14A_20190212_0001206774-18-003548.txt,BEN
191,clean_text3/BERY_DEF 14A_20190306_0001144204-19-002875.txt,BERY
192,clean_text3/BE_DEF 14A_20190509_0001564590-19-009208.txt,BE
193,clean_text3/BFS-A_DEF 14A_20190325_0000907254-19-000012.txt,BFS-A
194,clean_text3/BFS-B_DEF 14A_20190325_0000907254-19-000012.txt,BFS-B
195,clean_text3/BFS_DEF 14A_20190325_0000907254-19-000012.txt,BFS
196,clean_text3/BGNE_DEF 14A_20181207_0001047469-18-007146.txt,BGNE
197,clean_text3/BHC_DEF 14A_20190430_0001193125-19-078230.txt,BHC
198,clean_text3/BH_DEF 14A_20190425_0000921895-19-000944.txt,BH
199,clean_text3/BIQIF_DEF 14A_20181210_0001193805-18-001279.txt,BIQIF
200,clean_text3/BKCC_DEF 14A_20190503_0000950123-19-002729.txt,BKCC
201,clean_text3/BKCC_DEF 14A_20190503_0001564590-19-008447.txt,BKCC
202,clean_text3/BKH_DEF 14A_20181231_0001130464-19-000015.txt,BKH
203,clean_text3/BKPC_DEF 14A_20190409_0001193125-19-069151.txt,BKPC
204,clean_text3/BKR_DEF 14A_20181231_0001701605-19-000027.txt,BKR
205,clean_text3/BKSC_DEF 14A_20190409_0001387131-19-001672.txt,BKSC
206,clean_text3/BK_DEF 14A_20190409_0001193125-19-069151.txt,BK
207,clean_text3/BLBD_DEF 14A_20180929_0001589526-19-000012.txt,BLBD
208,clean_text3/BLIN_DEF 14A_20190426_0001437749-19-005093.txt,BLIN
209,clean_text3/BLL_DEF 14A_20190424_0001047469-19-001127.txt,BLL
210,clean_text3/BLMN_DEF 14A_20190430_0001193125-19-076657.txt,BLMN
211,clean_text3/BLPH_DEF 14A_20190514_0001600132-19-000062.txt,BLPH
212,clean_text3/BLW_DEF 14A_20190416_0001206774-19-000719.txt,BLW
213,clean_text3/BL_DEF 14A_20190508_0001140361-19-005373.txt,BL
214,clean_text3/BMCH_DEF 14A_20190516_0001206774-19-001150.txt,BMCH
215,clean_text3/BMI_DEF 14A_20190426_0001564590-19-008588.txt,BMI
216,clean_text3/BMTC_DEF 14A_20190418_0000802681-19-000070.txt,BMTC
217,clean_text3/BOH_DEF 14A_20190315_0000046195-19-000044.txt,BOH
218,clean_text3/BOKF_DEF 14A_20181231_0000875357-19-000013.txt,BOKF
219,clean_text3/BOOM_DEF 14A_20190507_0001047469-19-001601.txt,BOOM
220,clean_text3/BPFHP_DEF 14A_20190301_0000821127-19-000038.txt,BPFHP
221,clean_text3/BPFHW_DEF 14A_20190301_0000821127-19-000038.txt,BPFHW
222,clean_text3/BPFH_DEF 14A_20190301_0000821127-19-000038.txt,BPFH
223,clean_text3/BPOPM_DEF 14A_20190507_0001140361-19-005253.txt,BPOPM
224,clean_text3/BPOPN_DEF 14A_20190507_0001140361-19-005253.txt,BPOPN
225,clean_text3/BPOP_DEF 14A_20190507_0001140361-19-005253.txt,BPOP
226,clean_text3/BPTH_DEF 14A_20181220_0001144204-18-057055.txt,BPTH
227,clean_text3/BRID_DEF 14A_20190215_0001493152-19-002183.txt,BRID
228,clean_text3/BRKA_DEF 14A_20190504_0001193125-19-076915.txt,BRKA
229,clean_text3/BRKB_DEF 14A_20190504_0001193125-19-076915.txt,BRKB
230,clean_text3/BRKS_DEF 14A_20190130_0001140361-18-045164.txt,BRKS
231,clean_text3/BRN_DEF 14A_20190304_0000899681-19-000020.txt,BRN
232,clean_text3/BRN_DEF 14A_20190304_0000899681-19-000021.txt,BRN
233,clean_text3/BRO_DEF 14A_20190501_0001206774-19-000971.txt,BRO
234,clean_text3/BRQS_DEF 14A_20181218_0001213900-18-014677.txt,BRQS
235,clean_text3/BRSS_DEF 14A_20190523_0001437749-19-005966.txt,BRSS
236,clean_text3/BRT_DEF 14A_20190312_0001140361-19-001316.txt,BRT
237,clean_text3/BSET_DEF 14A_20190306_0001437749-19-001791.txt,BSET
238,clean_text3/BSVN_DEF 14A_20190514_0001140361-19-006076.txt,BSVN
239,clean_text3/BSX_DEF 14A_20190509_0001047469-19-001648.txt,BSX
240,clean_text3/BTN_DEF 14A_20181005_0001493152-18-014168.txt,BTN
241,clean_text3/BTU_DEF 14A_20190509_0001193125-19-087278.txt,BTU
242,clean_text3/BVIS_DEF 14A_20181227_0001140361-18-043255.txt,BVIS
243,clean_text3/BVSN_DEF 14A_20181227_0001140361-18-043255.txt,BVSN
244,clean_text3/BV_DEF 14A_20190326_0001193125-19-018957.txt,BV
245,clean_text3/BWA_DEF 14A_20190424_0001206774-19-000854.txt,BWA
246,clean_text3/BWB_DEF 14A_20190423_0001558370-19-002266.txt,BWB
247,clean_text3/BWC_DEF 14A_20190329_0001486957-19-000015.txt,BWC
248,clean_text3/BWEN_DEF 14A_20190423_0001120370-19-000012.txt,BWEN
249,clean_text3/BWLA_DEF 14A_20181204_0001437749-18-018808.txt,BWLA
250,clean_text3/BWXTW_DEF 14A_20190329_0001486957-19-000015.txt,BWXTW
251,clean_text3/BWXT_DEF 14A_20190329_0001486957-19-000015.txt,BWXT
252,clean_text3/BYD_DEF 14A_20190411_0001193125-19-071916.txt,BYD
253,clean_text3/BZHM_DEF 14A_20190206_0001193125-18-356416.txt,BZHM
254,clean_text3/BZH_DEF 14A_20190206_0001193125-18-356416.txt,BZH
255,clean_text3/BZMD_DEF 14A_20190206_0001193125-18-356416.txt,BZMD
256,clean_text3/BZT_DEF 14A_20190206_0001193125-18-356416.txt,BZT
257,clean_text3/BZU_DEF 14A_20190206_0001193125-18-356416.txt,BZU
258,clean_text3/B_DEF 14A_20190503_0001206774-19-000980.txt,B
259,clean_text3/CAAS_DEF 14A_20181205_0001144204-18-053088.txt,CAAS
260,clean_text3/CACI_DEF 14A_20181005_0001564590-18-023978.txt,CACI
261,clean_text3/CAC_DEF 14A_20190430_0000750686-19-000075.txt,CAC
262,clean_text3/CADE_DEF 14A_20190508_0001193125-19-092269.txt,CADE
263,clean_text3/CARG_DEF 14A_20190507_0001193125-19-088453.txt,CARG
264,clean_text3/CARO_DEF 14A_20190424_0001552781-19-000106.txt,CARO
265,clean_text3/CAR_DEF 14A_20190522_0001206774-19-001054.txt,CAR
266,clean_text3/CASH_DEF 14A_20180930_0000907471-18-000151.txt,CASH
267,clean_text3/CASS_DEF 14A_20190423_0001174947-19-000323.txt,CASS
268,clean_text3/CATB_DEF 14A_20181212_0001047469-18-006826.txt,CATB
269,clean_text3/CATC_DEF 14A_20190513_0001564590-19-008477.txt,CATC
270,clean_text3/CAZAU_DEF 14A_20181127_0001437749-18-018124.txt,CAZAU
271,clean_text3/CAZAW_DEF 14A_20181127_0001437749-18-018124.txt,CAZAW
272,clean_text3/CAZA_DEF 14A_20181127_0001437749-18-018124.txt,CAZA
273,clean_text3/CBB_DEF 14A_20190502_0000716133-19-000013.txt,CBB
274,clean_text3/CBLI_DEF 14A_20190426_0001318641-19-000011.txt,CBLI
275,clean_text3/CBL_DEF 14A_20190322_0000910612-19-000029.txt,CBL
276,clean_text3/CBMG_DEF 14A_20190426_0001654954-19-002827.txt,CBMG
277,clean_text3/CBM_DEF 14A_20190424_0001564590-19-007364.txt,CBM
278,clean_text3/CBPX_DEF 14A_20190501_0001592480-19-000008.txt,CBPX
279,clean_text3/CBRL_DEF 14A_20181115_0001193125-18-292924.txt,CBRL
280,clean_text3/CBSHP_DEF 14A_20181231_0000022356-19-000016.txt,CBSHP
281,clean_text3/CBSH_DEF 14A_20181231_0000022356-19-000016.txt,CBSH
282,clean_text3/CBT_DEF 14A_20190307_0001193125-19-017057.txt,CBT
283,clean_text3/CCBG_DEF 14A_20190423_0001171200-19-000100.txt,CCBG
284,clean_text3/CCF_DEF 14A_20190205_0001558370-18-009790.txt,CCF
285,clean_text3/CCK_DEF 14A_20190425_0000950159-19-000041.txt,CCK
286,clean_text3/CCL_DEF 14A_20190416_0001193125-19-066512.txt,CCL
287,clean_text3/CCMP_DEF 14A_20190306_0001193125-19-015725.txt,CCMP
288,clean_text3/CCNE_DEF 14A_20190416_0001193125-19-072626.txt,CCNE
289,clean_text3/CCOI_DEF 14A_20190501_0001047469-19-001306.txt,CCOI
290,clean_text3/CCS_DEF 14A_20190508_0001140361-19-005668.txt,CCS
291,clean_text3/CCUR_DEF 14A_20181108_0001144204-18-053739.txt,CCUR
292,clean_text3/CC_DEF 14A_20190430_0001144204-19-013921.txt,CC
293,clean_text3/CDAY_DEF 14A_20190501_0001193125-19-083603.txt,CDAY
294,clean_text3/CDEV_DEF 14A_20190321_0001658566-19-000058.txt,CDEV
295,clean_text3/CDEV_DEF 14A_20190501_0001658566-19-000043.txt,CDEV
296,clean_text3/CDE_DEF 14A_20190514_0001140361-19-005901.txt,CDE
297,clean_text3/CDK_DEF 14A_20181113_0001140361-18-039959.txt,CDK
298,clean_text3/CDNS_DEF 14A_20190502_0001193125-19-083500.txt,CDNS
299,clean_text3/CDN_DEF 14A_20190502_0001193125-19-083500.txt,CDN
300,clean_text3/CDR_DEF 14A_20190501_0001193125-19-092648.txt,CDR
301,clean_text3/CDZI_DEF 14A_20181114_0000727273-18-000017.txt,CDZI
302,clean_text3/CEIX_DEF 14A_20190508_0001193125-19-088452.txt,CEIX
303,clean_text3/CEI_DEF 14A_20190219_0001580695-19-000009.txt,CEI
304,clean_text3/CEM_DEF 14A_20190412_0001193125-19-063652.txt,CEM
305,clean_text3/CENTA_DEF 14A_20190212_0001193125-18-355818.txt,CENTA
306,clean_text3/CENT_DEF 14A_20190212_0001193125-18-355818.txt,CENT
307,clean_text3/CETX_DEF 14A_20190315_0001493152-19-003415.txt,CETX
308,clean_text3/CET_DEF 14A_20190320_0000891092-19-001644.txt,CET
309,clean_text3/CE_DEF 14A_20190418_0001306830-19-000063.txt,CE
310,clean_text3/CFBI_DEF 14A_20190228_0001193125-19-021776.txt,CFBI
311,clean_text3/CFFI_DEF 14A_20190308_0000913341-19-000010.txt,CFFI
